Point_A,Point_B,Height_Difference,Distance,Num_Across,Difference_Between_BF,Date_Measured,Name_File
82L,85L,2.56081,647,11,-0.18,120,NAT26.DAT.raw
85L,86L,-1.36644,194,5,-1.52,101,NAT21.DAT.raw
86L,87L,0.44734,355,7,1.06,129,NAT20.DAT.raw
87L,81L,0.53209,540,11,-2.6,120,NAT16.DAT.raw
81L,82L,-2.17668,1025,20,-0.09,121,NAT31.DAT.raw
83L,82L,-5.10336,292,7,0.77,101,NAT15.DAT.raw
82L,85L,2.56081,647,11,-0.18,120,NAT26.DAT.raw
85L,300PIK,3.77054,643,13,1.38,101,NAT23.DAT.raw
300PIK,83L,-1.22654,380,9,-0.15,123,NAT13.DAT.raw
83L,300PIK,1.22654,380,9,-0.15,123,NAT12.DAT.raw
300PIK,54M,7.1954,588,11,0.05,122,NAT08.DAT.raw
54M,84L,-4.20354,300,7,-2.45,101,NAT03.DAT.raw
84L,53M,3.92904,521,9,5.29,122,NAT02.DAT.raw
53M,80L,-9.32937,662,13,-0.24,121,NAT05.DAT.raw
80L,83L,1.18928,877,18,-0.66,121,NAT04.DAT.raw
53M,43M,-4.92362,418,9,-1.56,101,NAT40.DAT.raw
43M,77L,-4.41608,160,5,-0.28,101,NAT39.DAT.raw
77L,73L,-0.80552,389,9,-0.75,101,NAT38.DAT.raw
73L,72L,-7.53943,238,7,1.9,120,NAT30.DAT.raw
72L,74L,4.80393,257,6,-1.04,101,NAT29.DAT.raw
74L,75L,-1.20863,216,7,-0.26,101,NAT35.DAT.raw
75L,76L,1.85361,291,7,0.2,101,NAT34.DAT.raw
76L,80L,2.90646,278,7,0.13,101,NAT36.DAT.raw
80L,53M,9.32937,662,13,-0.24,121,NAT06.DAT.raw
51M,52S,1.18983,184,5,-0.32,119,Loop05-2.raw
52S,42M,-4.62127,479,9,-1.68,119,Loop05-2.raw
42M,400,-10.72334,450,11,-0.62,119,Loop05-2.raw
400,67L,0.7509,764,13,1.37,119,Loop05-2.raw
67L,4685,-7.11878,576,11,0.61,119,Loop05-2.raw
4685,68L,-0.25631,170,5,0.74,119,Loop05-2.raw
68L,41M,0.03858,201,5,1.27,119,Loop05-2.raw
41M,72L,2.15115,548,9,2.38,119,Loop05-2.raw
72L,73L,7.54703,267,7,-0.48,119,Loop05-2.raw
73L,42M,7.61273,321,11,0.48,119,Loop05-2.raw
67L,66L,3.22214,696,18,7.43,119,Loop05-2.raw
68L,69L,1.7663,231,7,-0.65,219,Loop06-V.raw
69L,402,-0.81376,545,11,0.91,219,Loop06-V.raw
402,401,-0.54577,799,13,-0.04,219,Loop06-V.raw
401,70L,-0.662,862,15,-1.46,219,Loop06-V.raw
70L,72L,2.44072,1213,21,-2.14,219,Loop06-V.raw
62L,63L,1.0483,469,9,-0.92,119,loop08-2.raw
63L,64L,-1.88857,316,7,-0.02,119,loop08-2.raw
64L,65L,1.5081,383,7,0.33,119,loop08-2.raw
65L,47M,5.3604,314,7,-0.54,119,loop08-2.raw
47M,49M,-0.62779,300,6,-0.5,119,loop08-2.raw
49M,62L,-5.39814,497,9,0.25,119,loop08-2.raw
47M,46M,10.26228,496,9,-1.83,119,Loop9.raw
46M,50M,1.23823,258,5,-0.02,119,Loop9.raw
50M,60M,1.37828,397,9,-0.62,119,Loop9.raw
60M,44M,-5.13846,465,9,-1.43,119,Loop9.raw
44M,45M,-1.54011,274,5,1.34,119,Loop9.raw
45M,66L,-6.14904,318,7,-2.73,119,Loop9.raw
66L,65L,-5.41096,321,7,-0.91,119,Loop9.raw
37S,2S,3.4563,220,5,-0.78,101,NAT62.DAT.raw
2S,3S,3.01968,195,5,-0.29,101,NAT64.DAT.raw
3S,5S,-6.82232,470,9,0.59,211,NAT67.DAT.raw
5S,4S,1.7126,210,5,1.43,101,NAT60.DAT.raw
4S,35S,-2.5456,146,5,0.74,101,NAT59.DAT.raw
35S,36S,2.15436,164,5,-0.39,101,NAT56.DAT.raw
36S,37S,-0.97435,179,5,-0.36,101,NAT55.DAT.raw
39S,6S,6.15399,280,8,-1.62,101,NAT49.DAT.raw
6S,38S,5.10778,225,5,0.8,101,NAT69.DAT.raw
38S,3S,5.45554,272,7,1.2,101,NAT68.DAT.raw
3S,2S,-3.01968,195,5,-0.29,101,NAT65.DAT.raw
2S,37S,-3.4563,220,5,-0.78,101,NAT63.DAT.raw
37S,40S,-1.66778,218,5,0.33,101,NAT52.DAT.raw
40S,7S,-5.60216,322,9,0.82,206,NAT51.DAT.raw
7S,39S,-2.97598,153,5,-0.21,101,NAT47.DAT.raw
100L,95L,9.6466,340,10,-2.45,101,LOP14N4.DAT.raw
95L,93L,-1.15756,433,10,-3.64,101,LOP14N6.DAT.raw
93L,94L,-1.02304,615,11,-3.23,101,LOP14N8.DAT.raw
94L,99L,-3.85402,813,18,-3.49,101,LOP14N10.DAT.raw
99L,100L,-3.62399,374,7,2.64,101,LOP14N2.DAT.raw
95L,14S,-10.50428,865,15,2.99,101,LOP15N7.DAT.raw
14S,96L,5.4711,278,7,-2.53,101,LOP15N5.DAT.raw
96L,56M,-0.15348,206,5,-0.07,101,LOP15N3.DAT.raw
56M,93L,4.02971,400,9,-1.04,101,LOP15N1.DAT.raw
14S,22S,5.4986,367,7,-0.21,101,LOP16N6.DAT.raw
22S,21S,2.05017,146,5,1.64,101,LOP16N5.DAT.raw
21S,92L,-4.02756,289,7,-0.21,101,LOP16N3.DAT.raw
92L,96L,1.95379,381,8,-0.7,101,LOP16N1.DAT.raw
14S,23S,0.13678,85,3,0.03,101,LOP17N9.DAT.raw
23S,24S,4.92788,138,5,-0.17,101,LOP17N7.DAT.raw
24S,25S,2.22502,82,4,-1.08,101,LOP17N5.DAT.raw
25S,26S,4.33084,410,8,-0.48,101,LOP17N3.DAT.raw
26S,21S,-4.07148,206,5,-0.85,101,LOP17N1.DAT.raw
100L,97L,3.63776,809,14,0.49,101,LOP18N5.DAT.raw
97L,98L,1.05792,733,13,0.35,101,LOP18N3.DAT.raw
98L,99L,-1.07732,731,12,0.36,101,LOP18N1.DAT.raw
11S,5S,3.75954,378,7,-1.01,119,Loop25-2.raw
5S,1S,-3.13434,339,7,0.99,119,Loop25-2.raw
1S,51M,-6.27268,319,9,-0.75,119,Loop25-2.raw
51M,60M,2.64768,389,8,-0.71,119,Loop25-2.raw
60M,10S,2.82848,400,8,4.22,119,Loop25-2.raw
10S,11S,0.17014,279,5,-2,119,Loop25-2.raw
91L,48M,2.8498,625,13,-2.15,219,Loop26_27.raw
48M,8S,11.48468,731,17,-1.25,219,Loop26_27.raw
8S,19S,2.96648,174,5,-1.67,219,Loop26_27.raw
19S,9S,-0.96409,152,5,0.76,219,Loop26_27.raw
9S,57M,-4.01578,309,7,7.11,219,Loop26_27.raw
57M,91L,-12.31928,453,11,3.65,219,Loop26_27.raw
91L,79L,-7.57576,432,9,0.21,219,Loop26_27.raw
79L,78L,-0.18373,404,9,-2.42,219,Loop26_27.raw
78L,62L,10.43301,392,13,-0.32,219,Loop26_27.raw
48M,49M,5.222,431,12,0.27,219,Loop26_27.raw
9S,20S,9.59104,368,10,1.2,219,Loop2829.raw
20S,29S,1.15893,159,5,-0.34,219,Loop2829.raw
29S,15S,-1.10821,137,5,2.54,219,Loop2829.raw
15S,19S,-8.67606,638,15,-1.49,219,Loop2829.raw
15S,10S,-1.57114,310,7,0.07,219,Loop2829.raw
88L,2977b,-10.73062,812,19,-1.52,100,2977b.raw
39S,300PIK,-7.30588,540,11,-0.24,101,NAT46.DAT.raw
2977b,89L,11.59553,1191,22,-3.24,101,NAT2.DAT.raw
39S,90L,-1.68034,847,17,0.45,101,LOP19N5.DAT.raw
90L,89L,8.13472,510,10,-3.11,101,LOP19N3.DAT.raw
89L,98L,-0.373,499,11,-1.57,101,LOP19N1.DAT.raw
90L,88L,7.25621,427,9,-1.1,101,LOP20N3.DAT.raw
88L,89L,0.87718,745,14,-1.13,101,LOP20N1.DAT.raw
55M,6S,-0.95718,335,7,-1.3,101,LOP21N3.DAT.raw
6S,18S,2.13566,295,7,-0.5,101,LOP21N1.DAT.raw
26S,13S,-2.65516,353,8,-0.35,101,LOP22N4.DAT.raw
13S,18S,-1.2086,180,5,-0.59,101,LOP22N6.DAT.raw
18S,59M,-2.09634,306,7,1.01,101,LOP22N8.DAT.raw
59M,61M,1.73858,154,5,0.23,101,LOP22N10.DAT.raw
61M,55M,-0.82014,78,3,-0.09,101,LOP22N12.DAT.raw
55M,97L,-2.08736,439,9,0.45,101,LOP22N14.DAT.raw
100L,25S,6.4342,889,15,4.78,101,LOP22N2.DAT.raw
21S,27S,1.95362,279,7,-0.39,101,LOP30N9.DAT.raw
27S,28S,-3.83544,186,6,-0.44,101,LOP30N7.DAT.raw
28S,20S,1.29256,150,4,-0.14,101,LOP30N5.DAT.raw
20S,58M,-1.62491,336,8,0.34,101,LOP30N2.DAT.raw
58M,92L,-1.81471,437,9,-2.44,101,LOP30N4.DAT.raw
13S,17S,5.52536,317,9,0.17,213,NAT74.DAT.raw
17S,12S,-4.51124,161,5,0.36,101,NAT77.DAT.raw
12S,16S,2.65629,408,9,-1.16,213,NAT78.DAT.raw
16S,3S,3.54846,362,7,1.85,101,NAT72.DAT.raw
3S,38S,-5.45554,272,7,1.2,101,NAT71.DAT.raw
38S,6S,-5.10778,225,5,0.8,101,NAT70.DAT.raw
28S,12S,4.31664,373,7,-0.07,101,NAT86.DAT.raw
15S,30S,0.44328,112,3,-0.25,101,NAT84.DAT.raw
30S,16S,5.18759,400,7,1.58,101,NAT83.DAT.raw
52S,32S,2.35416,223,5,0.48,101,NAT89.DAT.raw
32S,31S,1.06044,137,3,0.75,321,NAT88.DAT.raw
31S,33S,3.15512,195,7,-0.57,101,NAT7.DAT.raw
33S,34S,-0.75686,164,3,0.04,101,NAT5.DAT.raw
34S,35S,1.56476,114,3,0.53,101,NAT3.DAT.raw
