num,A,B,dH,dist,n,diff,date,calc_file,text_file,group,Original,month,year,codeA,typeA,nameA,groupA,rankA,codeB,typeB,nameB,groupB,rankB,Y1,X1,H1,Y2,X2,H2,dH_from_DB,dH_from_file,dH_diff,dist_from_DB,dist_from_file,dist_diff
1199,204U,351U,8.01157,884,16,0.75,899,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,204U 456A 801157 884 16 75 899 998.RAW,8,1999,29916,main,204U,7,3,29735,main,351U,7,2,181566.241,507907.305,762.914,181763.596,507128.398,770.926,8.012,8.01157,0.00043,804,884,80
1201,273U,277U,-9.31362,2925,60,-2.58,1099,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,273U 277U -931362 2925 60 -258 1099 998.RAW,10,1999,29846,main,273U,7,3,29850,main,277U,7,3,188847.575,498083.146,499.825,189214.319,500338.09,490.51,-9.315,-9.31362,0.00138,2285,2925,640
1202,273U,353U,-14.46965,3521,60,0.83,1199,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,273U 459A -1446965 3521 60 83 1199 998.RAW,11,1999,29846,main,273U,7,3,29736,main,353U,7,2,188847.575,498083.146,499.825,191324.269,496474.854,485.357,-14.468,-14.46965,0.00165,2953,3521,568
1203,274U,275U,-142.90352,4405,96,-1.63,1199,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,274U 275U -14290352 4405 96 -163 1199 998.RAW,11,1999,29847,main,274U,7,3,29848,main,275U,7,3,182550.758,503531.763,626.94,186210.02,502596.552,484.039,-142.901,-142.90352,0.00252,3777,4405,628
1204,275U,277U,6.46805,5023,96,0.88,1199,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,275U 277U 646805 5023 96 88 1199 998.RAW,11,1999,29848,main,275U,7,3,29850,main,277U,7,3,186210.02,502596.552,484.039,189214.319,500338.09,490.51,6.471,6.46805,0.00295,3759,5023,1264
1205,276U,354U,25.76261,3019,78,0.01,1299,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,276U 3466 2576261 3019 78 1 1299 998.RAW,12,1999,29849,main,276U,7,3,29773,main,354U,7,2,193443.329,492916.874,581.108,194680.013,490594.698,606.874,25.766,25.76261,0.00339,2631,3019,388
1206,278U,362U,-48.23574,4116,78,-2.18,1199,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,278U 888 -4823574 4116 78 -218 1199 998.RAW,11,1999,29851,main,278U,7,3,29744,main,362U,7,2,197498.487,467591.245,367.507,196662.063,469837.134,319.266,-48.241,-48.23574,0.00526,2397,4116,1719
1207,303U,278U,106.24946,2996,66,2.66,1199,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,303U 278U 10624946 2996 66 266 1199 998.RAW,11,1999,29810,main,303U,7,3,29851,main,278U,7,3,199732.761,466276.975,261.261,197498.487,467591.245,367.507,106.246,106.24946,0.00346,2592,2996,404
1209,360U,287U,-14.54961,2620,48,-2.52,100,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,465A 287U -1454961 2620 48 -252 01OO 998.RAW,1,2000,29737,main,360U,7,2,29791,main,287U,7,3,195281.193,476442.378,403.258,194654.501,478858.204,388.701,-14.557,-14.54961,0.00739,2496,2620,124
1210,360U,304U,-8.3255,2479,42,2.54,100,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,465A 304U -832550 2479 42 254 0100 998.RAW,1,2000,29737,main,360U,7,2,29813,main,304U,7,3,195281.193,476442.378,403.258,196162.69,474493.44,394.928,-8.33,-8.3255,0.0045,2139,2479,340
1211,620U,619U,0.32576,2612,44,-0.15,399,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,521A 3637 32576 2612 44 -15 399 998.RAW,3,1999,30284,main,620U,7,2,30283,main,619U,7,2,212616.142,467947.301,172.795,213960.815,470111.713,173.126,0.331,0.32576,0.00524,2548,2612,64
1226,617U,618U,53.81449,3268,60,2.08,299,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,617U 618U 5381449 3268 60 208 299 998.RAW,2,1999,30281,main,617U,7,3,30282,main,618U,7,3,216151.221,474852.407,104.805,215436.599,472153.715,158.622,53.817,53.81449,0.00251,2792,3268,476
1229,361U,304U,102.90838,2175,54,-0.16,1199,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,886 304U 10290838 2175 54 -16 1199 998.RAW,11,1999,29743,main,361U,7,3,29813,main,304U,7,3,195116.041,472670.234,292.016,196162.69,474493.44,394.928,102.912,102.90838,0.00362,2102,2175,73
1230,361U,362U,27.25671,4037,102,0.3,300,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,886 888 2725671 4037 102 30 0300 998.RAW,3,2000,29743,main,361U,7,3,29744,main,362U,7,2,195116.041,472670.234,292.016,196662.063,469837.134,319.266,27.25,27.25671,0.00671,3227,4037,810
1231,363U,49F,9.69527,887,16,0.16,399,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,892 49F 969527 887 16 16 399 998.RAW,3,1999,29745,main,363U,7,2,411135,main,49F,9,2,201233.447,465378.643,266.053,201655.006,464918.564,275.738,9.685,9.69527,0.01027,624,887,263
1232,363U,303U,-4.78906,2061,34,-2.07,699,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,892 303U -478906 2061 34 -207 699 998.RAW,6,1999,29745,main,363U,7,2,29810,main,303U,7,3,201233.447,465378.643,266.053,199732.761,466276.975,261.261,-4.792,-4.78906,0.00294,1749,2061,312
1233,352U,1522W,-27.63303,1995,36,-2.1,999,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,3358B 3361B -2763303 1995 36 -210 999 998.RAW,9,1999,29769,main,352U,7,3,20434,main,1522W,7,3,180973.143,502969.069,839.842,181171.323,504917.188,812.208,-27.634,-27.63303,0.00097,1958,1995,37
1234,352U,3460,-139.85776,3031,100,-2.05,1099,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,3358B 3460 -13985776 3031 100 -205 1099 998.RAW,10,1999,29769,main,352U,7,3,410686,main,3460,9,2,180973.143,502969.069,839.842,182233,503804,699.999,-139.843,-139.85776,0.01476,1511,3031,1520
1235,1522W,351U,-41.27264,2456,48,-1.23,999,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,3361B 456A -4127264 2456 48 -123 999 998.RAW,9,1999,20434,main,1522W,7,3,29735,main,351U,7,2,181171.323,504917.188,812.208,181763.596,507128.398,770.926,-41.282,-41.27264,0.00936,2289,2456,167
1241,3460,274U,-73.05968,1118,36,-1.45,1199,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,3460 274U -7305968 1118 36 -145 1199 998.RAW,11,1999,410686,main,3460,9,2,29847,main,274U,7,3,182233,503804,699.999,182550.758,503531.763,626.94,-73.059,-73.05968,0.00068,418,1118,700
1242,355U,354U,197.33761,4319,122,-2.71,1299,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,3479 3466 19733761 4319 122 -271 1299 998.RAW,12,1999,29774,main,355U,7,2,29773,main,354U,7,2,193349.101,488470.997,409.544,194680.013,490594.698,606.874,197.33,197.33761,0.00761,2506,4319,1813
1243,355U,356U,-29.83061,3221,62,-1.46,1299,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,3479 3558B -2983061 3221 62 -146 1299 998.RAW,12,1999,29774,main,355U,7,2,29777,main,356U,7,3,193349.101,488470.997,409.544,193477.377,485584.429,379.706,-29.838,-29.83061,0.00739,2889,3221,332
1244,356U,357U,1.96038,1294,24,0.76,1299,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,3558B 3559B 196038 1294 24 76 1299 998.RAW,12,1999,29777,main,356U,7,3,29778,main,357U,7,3,193477.377,485584.429,379.706,193665.417,484518.211,381.668,1.962,1.96038,0.00162,1083,1294,211
1245,358U,357U,0.80216,1268,24,0.4,100,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,3560B 3559B 80216 1268 24 40 0100 998.RAW,1,2000,29779,main,358U,7,3,29778,main,357U,7,3,193851.17,483404.133,380.867,193665.417,484518.211,381.668,0.801,0.80216,0.00116,1129,1268,139
1246,359U,287U,14.25357,3096,52,-0.49,100,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,3561B 287U 1425357 3096 52 -49 0100 998.RAW,1,2000,29780,main,359U,7,3,29791,main,287U,7,3,194158.583,481844.378,374.438,194654.501,478858.204,388.701,14.263,14.25357,0.00943,3027,3096,69
1247,359U,358U,6.42759,1696,30,0.14,100,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,3561B 3560B 642759 1696 30 14 0100 998.RAW,1,2000,29780,main,359U,7,3,29779,main,358U,7,3,194158.583,481844.378,374.438,193851.17,483404.133,380.867,6.429,6.42759,0.00141,1590,1696,106
1255,619U,618U,-14.49529,2586,44,-1.97,399,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,3637 618U -1449529 2586 44 -197 399 998.RAW,3,1999,30283,main,619U,7,2,30282,main,618U,7,3,213960.815,470111.713,173.126,215436.599,472153.715,158.622,-14.504,-14.49529,0.00871,2519,2586,67
1256,3640,522A,18.5801,2310,42,1.89,399,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,3640 522A 1858010 2310 42 189 399 998.RAW,3,1999,410634,main,3640,9,2,410969,main,522A,9,2,207542,466516,241.204,205813,465692,259.786,18.582,18.5801,0.0019,1915,2310,395
1257,3640,3639,-26.57943,1648,30,-2.4,399,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,3640 3639 -2657943 1648 30 -240 399 998.RAW,3,1999,410634,main,3640,9,2,410633,main,3639,9,2,207542,466516,241.204,209692.3,466864.1,214.624,-26.58,-26.57943,0.00057,2178,1648,530
1262,6161,49F,12.32839,2489,44,2.45,399,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,6161 49F 1232839 2489 44 245 399 998.RAW,3,1999,415134,main,6161,9,3,411135,main,49F,9,2,203772.61,465480.618,263.412,201655.006,464918.564,275.738,12.326,12.32839,0.00239,2191,2489,298
1263,6161,522A,-3.62768,2717,46,1.38,399,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,6161 522A -362768 2717 46 138 399 998.RAW,3,1999,415134,main,6161,9,3,410969,main,522A,9,2,203772.61,465480.618,263.412,205813,465692,259.786,-3.626,-3.62768,0.00168,2051,2717,666
1265,276U,6193,-11.01342,139,6,-0.14,1299,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,276U 6193 -1101342 139 6 -14 1299 998.RAW,12,1999,29849,main,276U,7,3,415678,main,6193,9,3,193443.329,492916.874,581.108,193300,493000,570.095,-11.013,-11.01342,0.00042,166,139,27
1266,353U,6193,84.74554,4627,92,1.31,1299,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,459A 6193 8474554 4627 92 131 1299 998.RAW,12,1999,29736,main,353U,7,2,415678,main,6193,9,3,191324.269,496474.854,485.357,193300,493000,570.095,84.738,84.74554,0.00754,3997,4627,630
1267,620U,MNHA,40.99849,3150,52,2.91,399,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,521A MNHA 4099849 3150 52 291 399 998.RAW,3,1999,30284,main,620U,7,2,446826,main,MNHA,5,3,212616.142,467947.301,172.795,209788.137,466856.205,213.802,41.007,40.99849,0.00851,3031,3150,119
1268,3639,MNHA,-0.82121,189,4,0.02,399,998.RAW,39_lul47F-521A-49F.csv,luba_loops_main,3639 MNHA -82121 189 4 2 399 998.RAW,3,1999,410633,main,3639,9,2,446826,main,MNHA,5,3,209692.3,466864.1,214.624,209788.137,466856.205,213.802,-0.822,-0.82121,0.00079,96,189,93
1269,49F,364U,3.74376,1293,40,1.58,498,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,49F 893 374376 1293 40 158 498 990.RAW,4,1998,411135,main,49F,9,2,29746,main,364U,7,2,201655.006,464918.564,275.738,202015.46,463862.043,279.484,3.746,3.74376,0.00224,1116,1293,177
1270,371U,370U,106.82156,2709,107,2.19,797,987.RAW,40_lul49F-521A-50F.csv,luba_loops_main,50F 910 10682156 2709 107 219 797 987.RAW,7,1997,29739,main,371U,7,2,29751,main,370U,7,2,206704.062,433065.091,146.012,206036.573,434740.227,252.827,106.815,106.82156,0.00656,1803,2709,906
1271,280U,281U,7.87705,1996,53,1.7,398,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,280U 281U 787705 1996 53 170 398 990.RAW,3,1998,29853,main,280U,7,3,29854,main,281U,7,3,201086.833,447885.791,332.209,200690.272,445938.933,340.09,7.881,7.87705,0.00395,1987,1996,9
1272,302U,301U,15.01527,2172,69,1.63,498,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,302U 301U 1501527 2172 69 163 498 990.RAW,4,1998,29807,main,302U,7,3,29804,main,301U,7,3,202018.256,462180.189,262.453,201520.317,460135.227,277.47,15.017,15.01527,0.00173,2105,2172,67
1273,302U,364U,17.0319,1731,59,1.55,498,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,302U 893 1703190 1731 59 155 498 990.RAW,4,1998,29807,main,302U,7,3,29746,main,364U,7,2,202018.256,462180.189,262.453,202015.46,463862.043,279.484,17.031,17.0319,0.0009,1682,1731,49
1274,366U,279U,-4.98481,3542,112,0.21,398,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,507A 279U -498481 3542 112 21 398 990.RAW,3,1998,29738,main,366U,7,2,29852,main,279U,7,3,201695.334,451846.415,288.067,200797.274,455211.69,283.08,-4.987,-4.98481,0.00219,3483,3542,59
1275,620U,621U,26.92985,2345,76,0.73,498,989.RAW,40_lul49F-521A-50F.csv,luba_loops_main,521A 3654 2692985 2345 76 73 498 989.RAW,4,1998,30284,main,620U,7,2,30285,main,621U,7,2,212616.142,467947.301,172.795,212425.749,465664.849,199.735,26.94,26.92985,0.01015,2290,2345,55
1276,625U,624U,-30.75674,2076,71,-1.59,398,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,530A 3650 -3075674 2076 71 -159 398 990.RAW,3,1998,30289,main,625U,7,2,30288,main,624U,7,2,212296.898,453500.602,255.252,212809.353,455371.064,224.493,-30.759,-30.75674,0.00226,1939,2076,137
1277,365U,279U,-0.93993,2815,87,-2.3,398,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,896 279U -93993 2815 87 -230 398 990.RAW,3,1998,29747,main,365U,7,2,29852,main,279U,7,3,200828.675,457927.797,284.018,200797.274,455211.69,283.08,-0.938,-0.93993,0.00193,2716,2815,99
1278,365U,301U,-6.54523,2367,77,-0.57,498,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,896 301U -654523 2367 77 -57 498 990.RAW,4,1998,29747,main,365U,7,2,29804,main,301U,7,3,200828.675,457927.797,284.018,201520.317,460135.227,277.47,-6.548,-6.54523,0.00277,2313,2367,54
1279,367U,280U,23.41283,2195,52,1.73,398,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,900 280U 2341283 2195 52 173 398 990.RAW,3,1998,29748,main,367U,7,2,29853,main,280U,7,3,202043.803,449831.774,308.792,201086.833,447885.791,332.209,23.417,23.41283,0.00417,2169,2195,26
1280,367U,366U,-20.72202,2122,68,-1.53,398,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,900 507A -2072202 2122 68 -153 398 990.RAW,3,1998,29748,main,367U,7,2,29738,main,366U,7,2,202043.803,449831.774,308.792,201695.334,451846.415,288.067,-20.725,-20.72202,0.00298,2045,2122,77
1281,368U,281U,-43.01326,3951,135,-2.24,398,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,904 281U -4301326 3951 135 -224 398 990.RAW,3,1998,29749,main,368U,7,2,29854,main,281U,7,3,200550.971,442126.94,383.11,200690.272,445938.933,340.09,-43.02,-43.01326,0.00674,3815,3951,136
1282,368U,282U,15.72456,2593,73,1.9,797,986.RAW,40_lul49F-521A-50F.csv,luba_loops_main,904 282U 1572456 2593 73 190 797 986.RAW,7,1997,29749,main,368U,7,2,29855,main,282U,7,3,200550.971,442126.94,383.11,201251.129,439778.462,398.831,15.721,15.72456,0.00356,2451,2593,142
1283,369U,282U,0.68812,1536,45,-1.27,397,986.RAW,40_lul49F-521A-50F.csv,luba_loops_main,906 282U 68812 1536 45 -127 397 986.RAW,3,1997,29750,main,369U,7,2,29855,main,282U,7,3,202411.595,439652.79,398.141,201251.129,439778.462,398.831,0.69,0.68812,0.00188,1167,1536,369
1284,369U,907,1.27126,1998,60,-0.81,397,986.RAW,40_lul49F-521A-50F.csv,luba_loops_main,906 907 127126 1998 60 -81 397 986.RAW,3,1997,29750,main,369U,7,2,410834,main,907,9,2,202411.595,439652.79,398.141,203704,439345,399.41,1.269,1.27126,0.00226,1329,1998,669
1285,907,378U,9.66076,611,22,-0.53,397,986.RAW,40_lul49F-521A-50F.csv,luba_loops_main,907 3481 966076 611 22 -53 397 986.RAW,3,1997,410834,main,907,9,2,29775,main,378U,7,2,203704,439345,399.41,204028.429,438318.611,409.074,9.664,9.66076,0.00324,1076,611,465
1286,370U,379U,106.90519,1769,88,1.84,797,987.RAW,40_lul49F-521A-50F.csv,luba_loops_main,910 3482 10690519 1769 88 184 797 987.RAW,7,1997,29751,main,370U,7,2,29776,main,379U,7,2,206036.573,434740.227,252.827,205489.607,435737.991,359.73,106.903,106.90519,0.00219,1138,1769,631
1287,378U,379U,-49.34778,3873,172,-3.47,797,987.RAW,40_lul49F-521A-50F.csv,luba_loops_main,3481 3482 -4934778 3873 172 -347 797 987.RAW,7,1997,29775,main,378U,7,2,29776,main,379U,7,2,204028.429,438318.611,409.074,205489.607,435737.991,359.73,-49.344,-49.34778,0.00378,2966,3873,907
1288,3639,3640,26.58132,1595,51,2.21,498,989.RAW,40_lul49F-521A-50F.csv,luba_loops_main,3639 3640 2658132 1595 51 221 498 989.RAW,4,1998,410633,main,3639,9,2,410634,main,3640,9,2,209692.3,466864.1,214.624,207542,466516,241.204,26.58,26.58132,0.00132,2178,1595,583
1289,3640,522A,18.58049,2200,73,-0.17,498,989.RAW,40_lul49F-521A-50F.csv,luba_loops_main,3640 522A 1858049 2200 73 -17 498 989.RAW,4,1998,410634,main,3640,9,2,410969,main,522A,9,2,207542,466516,241.204,205813,465692,259.786,18.582,18.58049,0.00151,1915,2200,285
1290,6210,371U,9.96953,2741,86,2.29,398,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,6210 50F 996953 2741 86 229 398 990.RAW,3,1998,411961,main,6210,9,2,29739,main,371U,7,2,208066.734,435157.593,136.042,206704.062,433065.091,146.012,9.97,9.96953,0.00047,2497,2741,244
1291,6210,3643,10.50606,2302,71,1.61,398,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,6210 3643 1050606 2302 71 161 398 990.RAW,3,1998,411961,main,6210,9,2,410637,main,3643,9,2,208066.734,435157.593,136.042,208555.1,437171.5,146.548,10.506,10.50606,6.00E-05,2072,2302,230
1292,3643,3644,4.16178,2038,51,0.79,298,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,3643 3644 416178 2038 51 79 298 990.RAW,2,1998,410637,main,3643,9,2,410638,main,3644,9,2,208555.1,437171.5,146.548,209503.5,438764.9,150.711,4.163,4.16178,0.00122,1854,2038,184
1293,3644,631U,17.64043,1910,50,1.98,298,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,3644 528A 1764043 1910 50 198 298 990.RAW,2,1998,410638,main,3644,9,2,30295,main,631U,7,2,209503.5,438764.9,150.711,210343.251,440307.509,168.352,17.641,17.64043,0.00057,1756,1910,154
1294,630U,631U,-3.61355,2423,76,-2.1,298,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,3645 528A -361355 2423 76 -210 298 990.RAW,2,1998,30294,main,630U,7,2,30295,main,631U,7,2,211741.745,441953.386,171.961,210343.251,440307.509,168.352,-3.609,-3.61355,0.00455,2160,2423,263
1295,630U,629U,23.07443,4884,161,3.22,398,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,3645 3647 2307443 4884 161 322 398 990.RAW,3,1998,30294,main,630U,7,2,30293,main,629U,7,2,211741.745,441953.386,171.961,213717.742,446117.469,195.032,23.071,23.07443,0.00343,4609,4884,275
1296,627U,629U,-26.72705,3760,118,-2.73,398,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,3648 3647 -2672705 3760 118 -273 398 990.RAW,3,1998,30291,main,627U,7,2,30293,main,629U,7,2,213226.74,449489.676,221.76,213717.742,446117.469,195.032,-26.728,-26.72705,0.00095,3408,3760,352
1297,627U,626U,12.09826,2188,80,2.03,398,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,3648 3649 1209826 2188 80 203 398 990.RAW,3,1998,30291,main,627U,7,2,30290,main,626U,7,2,213226.74,449489.676,221.76,212284.323,451329.877,233.857,12.097,12.09826,0.00126,2067,2188,121
1298,626U,625U,21.39381,2294,74,1.99,398,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,3649 530A 2139381 2294 74 199 398 990.RAW,3,1998,30290,main,626U,7,2,30289,main,625U,7,2,212284.323,451329.877,233.857,212296.898,453500.602,255.252,21.395,21.39381,0.00119,2171,2294,123
1299,624U,3652,-25.18396,4198,137,-2.97,498,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,3650 3652 -2518396 4198 137 -297 498 990.RAW,4,1998,30288,main,624U,7,2,410613,main,3652,9,2,212809.353,455371.064,224.493,213487,462013,199.307,-25.186,-25.18396,0.00204,6676,4198,2478
1300,3652,623U,-7.31817,2151,71,-1.8,398,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,3652 531A -731817 2151 71 -180 398 990.RAW,3,1998,410613,main,3652,9,2,30287,main,623U,7,2,213487,462013,199.307,212636.431,461426.43,191.99,-7.317,-7.31817,0.00117,1033,2151,1118
1301,622U,623U,-7.05837,2280,83,-1.97,398,990.RAW,40_lul49F-521A-50F.csv,luba_loops_main,3653 531A -705837 2280 83 -197 398 990.RAW,3,1998,30286,main,622U,7,2,30287,main,623U,7,2,212854.391,463609.384,199.036,212636.431,461426.43,191.99,-7.046,-7.05837,0.01237,2194,2280,86
1302,621U,622U,-0.70008,2176,57,-1.6,498,989.RAW,40_lul49F-521A-50F.csv,luba_loops_main,3654 3653 -70008 2176 57 -160 498 989.RAW,4,1998,30285,main,621U,7,2,30286,main,622U,7,2,212425.749,465664.849,199.735,212854.391,463609.384,199.036,-0.699,-0.70008,0.00108,2100,2176,76
1303,6161,522A,-3.62895,2708,75,-0.69,498,989.RAW,40_lul49F-521A-50F.csv,luba_loops_main,6161 522A -362895 2708 75 -69 498 989.RAW,4,1998,415134,main,6161,9,3,410969,main,522A,9,2,203772.61,465480.618,263.412,205813,465692,259.786,-3.626,-3.62895,0.00295,2051,2708,657
1304,6161,363U,2.63369,2615,72,0.34,498,989.RAW,40_lul49F-521A-50F.csv,luba_loops_main,6161 892 263369 2615 72 34 498 989.RAW,4,1998,415134,main,6161,9,3,29745,main,363U,7,2,203772.61,465480.618,263.412,201233.447,465378.643,266.053,2.641,2.63369,0.00731,2541,2615,74
1305,MNHA,620U,-41.00086,3148,95,-0.79,498,989.RAW,40_lul49F-521A-50F.csv,luba_loops_main,77 521A -4100086 3148 95 -79 498 989.RAW,4,1998,446826,main,MNHA,5,3,30284,main,620U,7,2,209788.137,466856.205,213.802,212616.142,467947.301,172.795,-41.007,-41.00086,0.00614,3031,3148,117
1306,3639,MNHA,-0.82124,146,6,0.19,498,989.RAW,40_lul49F-521A-50F.csv,luba_loops_main,3639 77 -82124 146 6 19 498 989.RAW,4,1998,410633,main,3639,9,2,446826,main,MNHA,5,3,209692.3,466864.1,214.624,209788.137,466856.205,213.802,-0.822,-0.82124,0.00076,96,146,50
